MC24,1,0,1,0
MC24,92,0,0,0
MC24,988,0,0,1
MC24,998,0,0,0
MC24,1915,0,0,1
MC24,1916,0,0,0
MC24,1986,1,0,0
MC24,1987,0,0,0
MC24,2452,1,0,0
MC24,2455,0,0,0
MC24,3901,0,0,1
MC24,3910,0,0,0
MC24,6124,0,0,1
MC24,6124,0,0,0
MC24,6610,0,0,1
MC24,6610,0,0,0
MC24,6977,0,0,1
MC24,6981,0,0,0
MC24,7048,0,0,1
MC24,7058,0,0,0
MC24,7058,0,0,1
MC24,7059,0,0,0
MC24,7060,0,0,1
MC24,7063,0,0,0
MC24,7065,0,0,1
MC24,7065,0,0,0
MC24,7066,0,0,1
MC24,7073,0,0,0
MC24,7090,0,0,1
MC24,7090,0,0,0
MC24,7090,0,0,1
MC24,7090,0,0,0
MC24,7090,0,0,1
MC24,7093,0,0,0
MC24,7095,0,0,1
MC24,7096,0,0,0
MC24,7112,0,0,1
MC24,7249,0,0,0
MC24,7250,0,0,1
MC24,7250,0,0,0
MC24,7252,0,0,1
MC24,7257,0,0,0
MC24,7302,0,0,1
MC24,7302,0,0,0
MC24,7303,0,0,1
MC24,7305,0,0,0
MC24,7306,0,0,1
MC24,7306,0,0,0
MC24,7307,0,0,1
MC24,7307,0,0,0
MC24,7307,0,0,1
MC24,7309,0,0,0
MC24,7309,0,0,1
MC24,7310,0,0,0
MC24,7310,0,0,1
MC24,7311,0,0,0
MC24,7313,0,0,1
MC24,7313,0,0,0
MC24,7313,0,0,1
MC24,7314,0,0,0
MC24,7326,0,0,1
MC24,10042,1,0,1
MC24,10599,0,0,1
MC24,11113,0,1,1
MC24,11113,0,1,0
MC24,11720,0,0,0
MC24,14980,0,0,1
MC24,18897,0,1,1
MC24,18897,0,1,0
MC24,21333,0,0,0
MC24,21334,0,0,1
MC24,25253,0,1,1
MC24,25253,0,1,0
MC24,29893,0,0,0
MC24,29894,0,0,1
MC24,33812,0,1,0
MC24,34607,0,0,0
MC24,34607,0,0,1
MC24,38524,0,1,0
MC24,39319,0,0,0
MC24,39319,0,0,1
MC24,43234,0,1,0
MC24,44148,0,0,0
MC24,44149,0,0,1
MC24,46569,1,0,1
MC24,47799,0,0,1
MC24,48065,0,1,0
MC24,49043,0,0,0
MC24,49043,0,0,1
MC24,52958,0,1,1
MC24,52959,0,1,0
MC24,54081,0,0,0
MC24,54082,0,1,1
MC24,54082,0,1,0
MC24,54122,0,0,0

